"cat01_code","(J315-02-2-001)新潟県地域","cat02_code","(J301-02-1-001)農林業経営体数","unit","value"
"1001","新潟県","1001","農林業経営体_計","経営体","43836"
"1001","新潟県","1002","農林業経営体_個人経営","経営体","42147"
"1001","新潟県","1003","農林業経営体_団体経営","経営体","1689"
"1001","新潟県","1004","農林業経営体_団体経営_法人経営","経営体","1327"
"1001","新潟県","1005","農業経営体_計","経営体","43502"
"1001","新潟県","1006","農業経営体_個人経営","経営体","41955"
"1001","新潟県","1007","農業経営体_団体経営","経営体","1547"
"1001","新潟県","1008","農業経営体_団体経営_法人経営","経営体","1218"
"1001","新潟県","1009","林業経営体_計","経営体","637"
"1001","新潟県","1010","林業経営体_個人経営","経営体","491"
"1001","新潟県","1011","林業経営体_団体経営","経営体","146"
"1001","新潟県","1012","林業経営体_団体経営_法人経営","経営体","111"
"1002","新潟県_新潟市","1001","農林業経営体_計","経営体","7036"
"1002","新潟県_新潟市","1002","農林業経営体_個人経営","経営体","6853"
"1002","新潟県_新潟市","1003","農林業経営体_団体経営","経営体","183"
"1002","新潟県_新潟市","1004","農林業経営体_団体経営_法人経営","経営体","168"
"1002","新潟県_新潟市","1005","農業経営体_計","経営体","7032"
"1002","新潟県_新潟市","1006","農業経営体_個人経営","経営体","6852"
"1002","新潟県_新潟市","1007","農業経営体_団体経営","経営体","180"
"1002","新潟県_新潟市","1008","農業経営体_団体経営_法人経営","経営体","165"
"1002","新潟県_新潟市","1009","林業経営体_計","経営体","10"
"1002","新潟県_新潟市","1010","林業経営体_個人経営","経営体","7"
"1002","新潟県_新潟市","1011","林業経営体_団体経営","経営体","3"
"1002","新潟県_新潟市","1012","林業経営体_団体経営_法人経営","経営体","3"
"1003","新潟県_北区","1001","農林業経営体_計","経営体","1024"
"1003","新潟県_北区","1002","農林業経営体_個人経営","経営体","1012"
"1003","新潟県_北区","1003","農林業経営体_団体経営","経営体","12"
"1003","新潟県_北区","1004","農林業経営体_団体経営_法人経営","経営体","11"
"1003","新潟県_北区","1005","農業経営体_計","経営体","1024"
"1003","新潟県_北区","1006","農業経営体_個人経営","経営体","1012"
"1003","新潟県_北区","1007","農業経営体_団体経営","経営体","12"
"1003","新潟県_北区","1008","農業経営体_団体経営_法人経営","経営体","11"
"1003","新潟県_北区","1009","林業経営体_計","経営体","-"
"1003","新潟県_北区","1010","林業経営体_個人経営","経営体","-"
"1003","新潟県_北区","1011","林業経営体_団体経営","経営体","-"
"1003","新潟県_北区","1012","林業経営体_団体経営_法人経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1001","農林業経営体_計","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1002","農林業経営体_個人経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1003","農林業経営体_団体経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1004","農林業経営体_団体経営_法人経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1005","農業経営体_計","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1006","農業経営体_個人経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1007","農業経営体_団体経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1008","農業経営体_団体経営_法人経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1009","林業経営体_計","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1010","林業経営体_個人経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1011","林業経営体_団体経営","経営体","-"
"1004","新潟県_北区_松ヶ崎浜村２－１","1012","林業経営体_団体経営_法人経営","経営体","-"
"1005","新潟県_北区_濁川村","1001","農林業経営体_計","経営体","61"
"1005","新潟県_北区_濁川村","1002","農林業経営体_個人経営","経営体","57"
"1005","新潟県_北区_濁川村","1003","農林業経営体_団体経営","経営体","4"
"1005","新潟県_北区_濁川村","1004","農林業経営体_団体経営_法人経営","経営体","4"
"1005","新潟県_北区_濁川村","1005","農業経営体_計","経営体","61"
"1005","新潟県_北区_濁川村","1006","農業経営体_個人経営","経営体","57"
"1005","新潟県_北区_濁川村","1007","農業経営体_団体経営","経営体","4"
"1005","新潟県_北区_濁川村","1008","農業経営体_団体経営_法人経営","経営体","4"
"1005","新潟県_北区_濁川村","1009","林業経営体_計","経営体","-"
"1005","新潟県_北区_濁川村","1010","林業経営体_個人経営","経営体","-"
"1005","新潟県_北区_濁川村","1011","林業経営体_団体経営","経営体","-"
"1005","新潟県_北区_濁川村","1012","林業経営体_団体経営_法人経営","経営体","-"
"1006","新潟県_北区_南浜村","1001","農林業経営体_計","経営体","69"
"1006","新潟県_北区_南浜村","1002","農林業経営体_個人経営","経営体","68"
"1006","新潟県_北区_南浜村","1003","農林業経営体_団体経営","経営体","1"
"1006","新潟県_北区_南浜村","1004","農林業経営体_団体経営_法人経営","経営体","1"
"1006","新潟県_北区_南浜村","1005","農業経営体_計","経営体","69"
"1006","新潟県_北区_南浜村","1006","農業経営体_個人経営","経営体","68"
"1006","新潟県_北区_南浜村","1007","農業経営体_団体経営","経営体","1"
"1006","新潟県_北区_南浜村","1008","農業経営体_団体経営_法人経営","経営体","1"
"1006","新潟県_北区_南浜村","1009","林業経営体_計","経営体","-"
"1006","新潟県_北区_南浜村","1010","林業経営体_個人経営","経営体","-"
"1006","新潟県_北区_南浜村","1011","林業経営体_団体経営","経営体","-"
"1006","新潟県_北区_南浜村","1012","林業経営体_団体経営_法人経営","経営体","-"
