"tab_code","表章項目","cat01_code","経営形態","area_code","新旧市区町村(2015年)_北陸地方","time_code","時間軸(年次)","unit","value"
"0010","経営体数","100","農林業経営体","15000","新潟県","2015000000","2015年","経営体","56826"
"0010","経営体数","100","農林業経営体","15100","新潟市","2015000000","2015年","経営体","8466"
"0010","経営体数","100","農林業経営体","15101","北区","2015000000","2015年","経営体","1291"
"0010","経営体数","100","農林業経営体","65001","旧松ヶ崎浜村２－１","2015000000","2015年","経営体","-"
"0010","経営体数","100","農林業経営体","65002","旧濁川村","2015000000","2015年","経営体","76"
"0010","経営体数","100","農林業経営体","65003","旧南浜村","2015000000","2015年","経営体","87"
"0010","経営体数","100","農林業経営体","65004","旧木崎村２－２","2015000000","2015年","経営体","19"
"0010","経営体数","100","農林業経営体","65005","旧葛塚町","2015000000","2015年","経営体","217"
"0010","経営体数","100","農林業経営体","65006","旧木崎村２－１","2015000000","2015年","経営体","280"
"0010","経営体数","100","農林業経営体","65007","旧岡方村","2015000000","2015年","経営体","275"
"0010","経営体数","100","農林業経営体","65008","旧長浦村","2015000000","2015年","経営体","337"
"0010","経営体数","100","農林業経営体","15102","東区","2015000000","2015年","経営体","217"
"0010","経営体数","100","農林業経営体","65009","旧新潟市２－１","2015000000","2015年","経営体","-"
"0010","経営体数","100","農林業経営体","65010","旧石山村２－１","2015000000","2015年","経営体","82"
"0010","経営体数","100","農林業経営体","65011","旧大形村","2015000000","2015年","経営体","117"
"0010","経営体数","100","農林業経営体","65012","旧松ヶ崎浜村２－２","2015000000","2015年","経営体","18"
"0010","経営体数","100","農林業経営体","15103","中央区","2015000000","2015年","経営体","145"
"0010","経営体数","100","農林業経営体","65013","旧新潟市２－２","2015000000","2015年","経営体","3"
"0010","経営体数","100","農林業経営体","65014","旧石山村２－２","2015000000","2015年","経営体","76"
"0010","経営体数","100","農林業経営体","65015","旧鳥屋野村","2015000000","2015年","経営体","64"
"0010","経営体数","100","農林業経営体","65016","旧曽野木村２－１－１","2015000000","2015年","経営体","2"
"0010","経営体数","100","農林業経営体","15104","江南区","2015000000","2015年","経営体","1149"
"0010","経営体数","100","農林業経営体","65017","旧大江山村","2015000000","2015年","経営体","202"
"0010","経営体数","100","農林業経営体","65018","旧曽野木村２－１－２","2015000000","2015年","経営体","192"
"0010","経営体数","100","農林業経営体","65019","旧両川村","2015000000","2015年","経営体","155"
"0010","経営体数","100","農林業経営体","65020","旧横越町","2015000000","2015年","経営体","384"
"0010","経営体数","100","農林業経営体","65021","旧亀田町","2015000000","2015年","経営体","216"
